,uplandstation,upland,station,site,rep,size,sex,infected,metac,adult,intensity,isopod
1,B7,B,7,1,1,13.8,male,0,0,0,0,0
2,B7,B,7,1,2,15.2,female,0,0,0,0,0
3,B7,B,7,1,3,15.1,female,1,2,3,5,0
4,B7,B,7,1,4,16,female,1,0,1,1,0
5,B7,B,7,1,5,17.2,male,1,1,0,1,0
6,B7,B,7,1,6,16.1,male,0,0,0,0,0
7,B7,B,7,1,7,14,female,0,0,0,0,0
8,B7,B,7,1,8,16,male,0,0,0,0,0
9,B7,B,7,1,9,17,male,0,0,0,0,0
10,B7,B,7,1,10,14,female,1,1,0,1,1
11,B9,B,9,2,1,13.4,male,0,0,0,0,0
12,B9,B,9,2,2,13.1,male,0,0,0,0,0
13,B9,B,9,2,3,15,male,1,1,2,3,0
14,B9,B,9,2,4,13.9,male,0,0,0,0,0
15,B9,B,9,2,5,11,male,1,1,0,1,0
16,B9,B,9,2,6,11.8,male,0,0,0,0,0
17,B9,B,9,2,7,13.1,female,1,1,0,1,0
18,B9,B,9,2,8,14.7,female,0,0,0,0,0
19,B9,B,9,2,9,13.9,female,0,0,0,0,0
20,B9,B,9,2,10,10.5,male,0,0,0,0,0
21,B9,B,9,2,11,13,male,1,1,0,1,0
22,B9,B,9,2,12,11.1,male,0,0,0,0,0
23,B9,B,9,2,13,10.1,male,0,0,0,0,0
24,B10,B,10,3,1,11.8,male,0,0,0,0,0
25,B10,B,10,3,2,13.2,male,0,0,0,0,0
26,B10,B,10,3,3,8.5,male,0,0,0,0,0
27,B10,B,10,3,4,11,male,0,0,0,0,0
28,B10,B,10,3,5,11,male,0,0,0,0,0
29,B10,B,10,3,6,10.8,male,0,0,0,0,0
30,B10,B,10,3,7,11,male,0,0,0,0,0
31,B10,B,10,3,8,10.3,male,0,0,0,0,0
32,B10,B,10,3,9,8,male,0,0,0,0,0
33,B10,B,10,3,10,11,female,0,0,0,0,0
34,B11,B,11,4,1,19.1,male,1,17,0,17,0
35,B11,B,11,4,2,19.7,female,1,7,0,7,0
36,B11,B,11,4,3,15.4,male,1,2,0,2,0
37,B11,B,11,4,4,16.2,male,1,1,0,1,0
38,B11,B,11,4,5,15.5,female,1,2,0,2,0
39,B11,B,11,4,6,19,male,1,7,2,9,0
40,B11,B,11,4,7,18.8,male,1,4,4,8,0
41,B11,B,11,4,8,14.1,male,1,2,1,3,0
42,B11,B,11,4,9,21,male,1,27,4,31,0
43,B11,B,11,4,10,17.8,male,1,2,2,4,0
44,B12,B,12,5,1,17.7,male,1,1,3,4,0
45,B12,B,12,5,2,21.1,male,1,0,2,2,0
46,B12,B,12,5,3,19,male,1,2,0,2,0
47,B12,B,12,5,4,16,female,0,0,0,0,0
48,B12,B,12,5,5,15,female,0,0,0,0,0
49,B12,B,12,5,6,18,male,0,0,0,0,0
50,B12,B,12,5,7,16.2,female,1,0,1,1,0
51,B12,B,12,5,8,16.3,female,1,0,3,3,0
52,B12,B,12,5,9,19,male,0,0,0,0,0
53,B12,B,12,5,10,18,male,1,1,0,1,0
54,B13,B,13,6,1,12,male,0,0,0,0,0
55,B13,B,13,6,2,12,male,0,0,0,0,0
56,B13,B,13,6,3,15.1,male,0,0,0,0,1
57,B13,B,13,6,4,12,female,0,0,0,0,0
58,B13,B,13,6,5,13.5,male,0,0,0,0,0
59,B13,B,13,6,6,14.1,male,0,0,0,0,0
60,B13,B,13,6,7,15,male,0,0,0,0,0
61,B13,B,13,6,8,11,male,1,1,0,0,0
62,B13,B,13,6,9,11,male,0,0,0,0,0
63,B13,B,13,6,10,12.2,male,1,0,1,1,0
64,B16,B,16,7,1,12.1,female,0,0,0,0,0
65,B16,B,16,7,2,24.9,male,0,0,0,0,0
66,B16,B,16,7,3,25.2,male,1,2,0,2,0
67,B16,B,16,7,4,12.1,male,0,0,0,0,0
68,B16,B,16,7,5,20.8,male,0,0,0,0,0
69,B16,B,16,7,6,14.5,male,0,0,0,0,0
70,B16,B,16,7,7,21.1,male,1,2,0,2,0
71,B16,B,16,7,8,12.1,male,0,0,0,0,0
72,B16,B,16,7,9,15.6,male,0,0,0,0,0
73,B16,B,16,7,10,13.2,male,0,0,0,0,0
74,B17,B,17,8,1,22.1,male,1,2,0,2,0
75,B17,B,17,8,2,12.1,male,1,1,0,1,0
76,B17,B,17,8,3,10.8,male,0,0,0,0,0
77,B17,B,17,8,4,13.2,male,0,0,0,0,0
78,B17,B,17,8,5,11.1,male,0,0,0,0,0
79,B17,B,17,8,6,11,male,1,2,0,2,0
80,B17,B,17,8,7,9,female,1,2,0,2,0
