,Estimate,Std. Error,2.50%,97.50%,Pr(>|z|),Importance
Intercept,0.75,0.17,0.41,1.1,0,0.9812791
Crab size,0.31,0.09,0.13,0.5,0,0.3590058
Soil water content,0.14,0.13,-0.11,0.39,0.26,0.297974
Soil water salinity,-0.12,0.14,-0.4,0.17,0.41,0.2972968
Littoraria,-0.22,0.26,-0.75,0.3,0.41,0.2811116
Crab holes,0.12,0.16,-0.19,0.43,0.45,0.2811116
Geukensia,0.16,0.25,-0.34,0.66,0.54,0.2610899
Vegatative fraction,-0.04,0.18,-0.38,0.31,0.84,0.2422722
Elevation,-0.04,0.16,-0.35,0.27,0.8,0.2387779
Marsh width,0.03,0.15,-0.26,0.32,0.84,0.2307537
Wrack,-0.01,0.14,-0.29,0.27,0.94,0.2253289
