,Estimate,Std. Error,2.50%,97.50%,Pr(>|z|),Importance
(Intercept),-1.25,0.27,-1.79,-0.71,0,
Host Size,0.77,0.22,0.34,1.2,0,0.998244041
Soil water content,0.68,0.28,0.12,1.24,0.02,0.852569486
Geukensia,-0.82,0.4,-1.61,-0.03,0.04,0.829402643
Littoraria,-0.6,0.41,-1.41,0.22,0.15,0.564908549
Wrack,-0.29,0.26,-0.81,0.23,0.28,0.386941196
Marsh Width,0.3,0.34,-0.36,0.96,0.37,0.3682313
Vegetative Fraction,-0.27,0.34,-0.94,0.4,0.43,0.339459133
Soil water salinity,-0.2,0.32,-0.84,0.44,0.54,0.324876232
Elevation,-0.12,0.45,-1,0.75,0.78,0.317072158
Crab holes,-0.14,0.32,-0.77,0.5,0.67,0.299471975
